,Last Name Chi,First Name Chi,Chi Name,Prefix CN,Last Name Eng,First Name Eng,Preferred Name Eng,Eng Name,Gender,Category,Organization,Award Date,Award
0,區,志光,區志光,,AU,Chi-kwong,,AU Chi-kwong,,Awards & Recognitions,Justices of the Peace,2017-08-25,Justices of the Peace
1,區,潔英,區潔英女士,女士,AU,Kit-ying, Brenda,"AU Kit-ying, Brenda",F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
2,歐,錫熊,歐錫熊,,AU,Sik-hung, Andrew,"AU Sik-hung, Andrew",,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
3,區,偉光,區偉光,,AU,Wai-kwong, Elvis,"AU Wai-kwong, Elvis",,Awards & Recognitions,Justices of the Peace,2007-07-01,Justices of the Peace
4,區,毓麟,區毓麟,,AU,Yuk-lun,,AU Yuk-lun,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
5,歐,陽仁生,歐陽仁生,,AU,YEUNG Yan-sang,,AU-YEUNG Yan-sang,,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
6,陳,秋發,陳秋發,,CHAN,Chau-fat,,CHAN Chau-fat,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
7,陳,焯明,陳焯明,,CHAN,Cheuk-ming, Robert,"CHAN Cheuk-ming, Robert",,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
8,陳,志偉,陳志偉,,CHAN,Chi-wai, Richard,"CHAN Chi-wai, Richard",,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
9,陳,松青,陳松青,,CHAN,Chung-ching,,CHAN Chung-ching,,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
10,陳,帆,陳帆,,CHAN,Fan,,CHAN Fan,,Awards & Recognitions,Justices of the Peace,2007-07-01,Justices of the Peace
11,陳,巧敏,陳巧敏女士,女士,CHAN,Hau-man,,CHAN Hau-man,F,Awards & Recognitions,Justices of the Peace,2018-11-02,Justices of the Peace
12,陳,浩濂,陳浩濂,,CHAN,Ho-lim, Joseph,"CHAN Ho-lim, Joseph",,Awards & Recognitions,Justices of the Peace,2017-08-25,Justices of the Peace
13,陳,漢儀,陳漢儀醫生,醫生,CHAN,Hon-yee, Constance,"CHAN Hon-yee, Constance",,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
14,陳,積志,陳積志,,CHAN,Jick-chi, Jack,"CHAN Jick-chi, Jack",,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
15,陳,嘉信,陳嘉信,,CHAN,Ka-shun,,CHAN Ka-shun,,Awards & Recognitions,Justices of the Peace,2010-07-01,Justices of the Peace
16,陳,景宏,陳景宏,,CHAN,King-wang,,CHAN King-wang,,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
17,陳,潔玲,陳潔玲女士,女士,CHAN,Kit-ling, Maisie,"CHAN Kit-ling, Maisie",F,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
18,陳,鈞儀,陳鈞儀,,CHAN,Kwan-yee, Philip,"CHAN Kwan-yee, Philip",,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
19,陳,國基,陳國基,,CHAN,Kwok-ki,,CHAN Kwok-ki,,Awards & Recognitions,Justices of the Peace,2017-07-21,Justices of the Peace
20,陳,美寳,陳美寳女士,女士,CHAN,, Mable,"CHAN, Mable",F,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
21,陳,妙如,陳妙如女士,女士,CHAN,Miu-yu, Rhoda,"CHAN Miu-yu, Rhoda",F,Awards & Recognitions,Justices of the Peace,2007-07-01,Justices of the Peace
22,陳,愛容,陳愛容女士,女士,CHAN,Oi-yung,,CHAN Oi-yung,F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
23,陳,派明,陳派明,,CHAN,Pai-ming,,CHAN Pai-ming,,Awards & Recognitions,Justices of the Peace,2015-07-01,Justices of the Peace
24,陳,百里,陳百里博士,博士,CHAN,Pak-li, Bernard,"CHAN Pak-li, Bernard",,Awards & Recognitions,Justices of the Peace,2017-08-25,Justices of the Peace
25,陳,佩儀,陳佩儀女士,女士,CHAN,Pui-yee,,CHAN Pui-yee,F,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
