,Last Name Chi,First Name Chi,Chi Name,Prefix CN,Last Name Eng,First Name Eng,Eng Name,Prefix,Gender,Category,Organization,Year,Award
0,安,子介,安子介先生,先生,ANN,Tse-kai,ANN Tse-kai,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
1,利,國偉,利國偉博士,博士,LEE,Quo-wei,LEE Quo-wei,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
2,李,福善,李福善先生,先生,LI,Fook-sean,LI Fook-sean,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
3,杜,葉錫恩,杜葉錫恩女士,女士,TU,Elsie,Mrs. Elsie TU,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
4,查,濟民,查濟民先生,先生,CHA,Chi-ming,CHA Chi-ming,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
5,徐,四民,徐四民先生,先生,TSUI,Sze-man,TSUI Sze-man,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
6,莊,世平,莊世平先生,先生,CHUANG,Shih-ping,CHUANG Shih-ping,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
7,黃,克立,黃克立先生,先生,WONG,Ker-lee,WONG Ker-lee,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
8,曾,憲梓,曾憲梓先生,先生,TSANG,Hin-chi,TSANG Hin-chi,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
9,霍,英東,霍英東先生,先生,FOK,Ying-tung,FOK Ying-tung,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
10,鍾,士元,鍾士元議員,議員,CHUNG,Sze-yuen,Sze-yuen CHUNG,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
11,羅,德丞,羅德丞先生,先生,LO,Tak-sing,LO Tak-sing,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1997,Grand Bauhinia Medal
12,沙,理士,沙理士先生,先生,SALES,Arnaldo de Oliveira,Arnaldo de Oliveira SALES,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Grand Bauhinia Medal
13,吳,康民,吳康民先生,先生,NG,Hong-mun,NG Hong-mun,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Grand Bauhinia Medal
14,邵,逸夫,邵逸夫爵士,爵士,SHAW,Run Run,Sir Run Run SHAW,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Grand Bauhinia Medal
15,黃,保欣,黃保欣先生,先生,WONG,Po-yan,WONG Po-yan,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Grand Bauhinia Medal
16,李,澤添,李澤添先生,先生,LEE,Chark-tim,LEE Chark-tim,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Grand Bauhinia Medal
17,陳,方安生,陳方安生女士,女士,CHAN,Anson,Mrs. Anson CHAN,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Grand Bauhinia Medal
18,楊,鐵樑,楊鐵樑議員,議員,YANG,Ti-liang,Sir YANG Ti-liang,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Grand Bauhinia Medal
19,,Sidney GORDON,Sir Sidney GORDON,Sir,GORDON,Sidney,Sir Sidney GORDON,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Grand Bauhinia Medal
20,,William PURVES,Sir William PURVES,Sir,PURVES,William,Sir William PURVES,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Grand Bauhinia Medal
21,列,顯倫,列顯倫法官,法官,LITTON,Justice Henry Denis,Mr. Justice Henry Denis LITTON,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Grand Bauhinia Medal
22,沈,澄,沈　澄法官,法官,CHING,Justice Charles Arthur,Mr. Justice Charles Arthur CHING,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Grand Bauhinia Medal
23,毛,鈞年,毛鈞年先生,先生,MO,Kwan-nin,MO Kwan-nin,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Grand Bauhinia Medal
24,查,良鏞,查良鏞教授,教授,CHA,Jing-yong,CHA Jing-yong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Grand Bauhinia Medal
25,饒,宗頤,饒宗頤教授,教授,JAO,Tsung-I,JAO Tsung-I,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Grand Bauhinia Medal
26,方,心讓,方心讓爵士,爵士,FANG,Harry  Sin-yang,Sir Harry FANG Sin-yang,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Grand Bauhinia Medal
27,李,嘉誠,李嘉誠先生,先生,LI,Ka-shing,LI Ka-shing,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Grand Bauhinia Medal
28,楊,光,楊　光先生,先生,YEUNG,Kwong,YEUNG Kwong,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Grand Bauhinia Medal
29,曾,蔭權,曾蔭權先生,先生,TSANG,Yam-kuen,TSANG Yam-kuen,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Grand Bauhinia Medal
30,梁,愛詩,梁愛詩女士,女士,LEUNG,Oi-sie,LEUNG Oi-sie,,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Grand Bauhinia Medal
